,Focal_ID,Average_distance
0,PC00397,1759.0271111111113
1,PC00430,827.6087254901961
2,PC00400,2026.7474310595064
3,PC00473,482.7844322344323
4,PC00281,576.1356236323851
5,PC00384,621.6284955752212
6,PC00296,481.1057600689972
7,PC00185,1031.2226
8,PC00132,1336.3787444933919
9,PC00387,1274.0549154746423
10,PC00399,1270.8484835793229
11,PC00160,1157.3268216318788
12,PC00254,548.5587538461538
13,PC00619,546.3189224137931
14,PC00535,1427.968264146955
15,PC00196,966.2422443181819
16,PC00368,466.178755842699
17,PC00522,577.9688663743374
18,PC00544,357.84175799086756
19,PC00295,1473.5478339882427
20,PC00283,757.4016407982261
21,PC00323,1354.1936588541666
22,PC00274,1211.7054285714285
23,PC00536,236.50336206896552
24,PC00250,434.96589935534826
25,PC00096,1149.878021653543
26,PC00238,462.0881497006543
27,PC00463,1474.5218120805368
28,PC00150,637.742619372442
29,PC00172,468.5954841402336
30,PC00451,420.57339805825245
31,PC00567,362.8222023587183
32,PC00270,659.3680652362926
33,PC00592,1782.7362473347548
34,PC00301,688.4178388278389
35,PC00373,571.888537549407
36,PC00221,936.8433182844243
37,PC00641,938.3370800863131
38,PC00709,738.9497424113937
39,PC00750,954.2056451612904
40,PC00706,1692.6605678233436
41,PC00243,519.2285928705442
42,PC00381,532.5811368909513
43,PC00173,509.6241959334567
44,PC00234,441.1440219092331
45,PC00794,1766.108068833652
46,PC00803,353.7177435897436
47,PC00798,563.0942974079127
48,PC00899,654.8773487903227
49,PC00883,654.8773487903227
50,PC00807,1863.1944137931034
51,PC01107,466.0875355450237
52,PC01466,3016.373198269917
53,PC01178,1147.769090909091
54,PC01422,461.50536496350367
55,PC01272,1795.664540229885
56,PC01762,2004.2586669229424
57,T00092,458.73962732919256
58,T00103,2313.9440624999997
59,T00054,360.4345161290323
60,T00089,366.38124999999997
61,T00007,2186.07923566879
62,T00074,1142.8334905660377
63,T00023,336.5716071428572
64,T00013,2280.1626666666666
65,T00080,2503.0539805825247
66,T00034,1237.4940268456376
67,T00036,1086.992690909091
68,T00015,448.5691269841269
69,T00046,1187.1452985074627
70,T00055,2295.6161165048547
71,T00052,566.2122539272347
72,T00066,36.77852028930003
73,T00049,2429.4908605341243
74,T00010,1636.394787234042
75,T00031,471.13254237288135
76,T00043,635.0778571428572
77,T00059,449.3226271186441
78,T00078,454.8505357142857
79,T00001,374.9406875
80,T00028,402.31758333333335
81,T00110,264.51591836734696
82,T00137,377.2687845303867
83,T00144,4614.133972602739
84,T00173,2921.8777777777777
85,T00177,2128.498484848485
86,T00163,507.5915625
87,T00156,430.28812500000004
88,T00152,275.30806520829583
89,T00130,2009.901935483871
90,T00159,2185.8601886792453
91,T00127,1859.9029126213597
92,T00124,602.07125
93,T00150,680.5602666666667
94,T00118,673.0239175257732
95,T00108,3121.0057999999995
96,T00184,2830.504117647059
97,T00187,824.9224418604651
